"Country/Region/World","ISO","Sex","Year","Age","Prevalence of hypertension","Prevalence of hypertension lower 95% uncertainty interval","Prevalence of hypertension upper 95% uncertainty interval","Proportion of diagnosed hypertension among all hypertension","Proportion of diagnosed hypertension among all hypertension lower 95% uncertainty interval","Proportion of diagnosed hypertension among all hypertension upper 95% uncertainty interval","Proportion of treated hypertension among all hypertension","Proportion of treated hypertension among all hypertension lower 95% uncertainty interval","Proportion of treated hypertension among all hypertension upper 95% uncertainty interval","Proportion of controlled hypertension among all hypertension","Proportion of controlled hypertension among all hypertension lower 95% uncertainty interval","Proportion of controlled hypertension among all hypertension upper 95% uncertainty interval","Proportion of untreated stage 2 hypertension among all hypertension","Proportion of untreated stage 2 hypertension among all hypertension lower 95% uncertainty interval","Proportion of untreated stage 2 hypertension among all hypertension upper 95% uncertainty interval"
"Central and Eastern Europe","NA","Men",1990,"Age standardised (30-79 years)",0.505529419221925,0.433393403456437,0.57585711191672,0.37366086511842,0.288511348828941,0.465470730556546,0.167183507689443,0.111919276383282,0.231183879229005,0.0212620323804644,0.0091867883790759,0.0406721084449277,0.322511468655977,0.252077112021833,0.399452232405803
"Central and Eastern Europe","NA","Men",1991,"Age standardised (30-79 years)",0.506074273028831,0.44022109123239,0.57026263018769,0.382315345209241,0.301750093624759,0.467136928137629,0.174976843231785,0.122320408770739,0.235257942756306,0.0226938963259534,0.0107312032529711,0.0411420560635677,0.314934885589351,0.250632700485105,0.38445052050116
"Central and Eastern Europe","NA","Men",1992,"Age standardised (30-79 years)",0.506653878451503,0.446367488547495,0.565106208323879,0.391255508116264,0.316591546529281,0.469860055155053,0.183324475375125,0.133072930193616,0.2402721536489,0.0244008066801037,0.0126160259376776,0.0417379536395612,0.3074761816226,0.248223000395318,0.370967326079556
"Central and Eastern Europe","NA","Men",1993,"Age standardised (30-79 years)",0.507254181878624,0.450916108935988,0.561622167636618,0.400448890828897,0.331176688581191,0.474329388683306,0.192328910775931,0.144044586631357,0.247271198469788,0.0264691242464737,0.0145864959339326,0.0429859763501124,0.300043701984633,0.245836627100478,0.35834408213174
"Central and Eastern Europe","NA","Men",1994,"Age standardised (30-79 years)",0.507739140370027,0.455744086347164,0.557628493356238,0.409827845037569,0.344135348280958,0.479435170231973,0.201917199484462,0.155435630998913,0.25380450594968,0.0289247697716625,0.0170661689847161,0.0447802060183492,0.292659802437255,0.242260268219083,0.345779672434929
"Central and Eastern Europe","NA","Men",1995,"Age standardised (30-79 years)",0.508175125554707,0.45940985159318,0.555289471879746,0.419362967417343,0.356072092444725,0.484191935752071,0.211992882682147,0.166442796104787,0.262435684357532,0.031805595468249,0.019813770488541,0.0474153018829579,0.285341367938835,0.23877226062482,0.333635949380007
"Central and Eastern Europe","NA","Men",1996,"Age standardised (30-79 years)",0.508602382066093,0.463236243825566,0.553092517025295,0.428748699725951,0.367335351708317,0.492006443485006,0.222172213744272,0.177872768372308,0.271462074074816,0.0349203091347839,0.0226259957527811,0.0506893417902574,0.278262268309014,0.234958072037847,0.323141242923263
"Central and Eastern Europe","NA","Men",1997,"Age standardised (30-79 years)",0.509024532425164,0.465500621468279,0.551803311798443,0.437966525919103,0.379334585524271,0.49756585786052,0.232533931889124,0.188394119088287,0.281954626743075,0.0382995441642757,0.0255665835387425,0.0540769010215255,0.271253183675439,0.230532228960623,0.313816389030481
"Central and Eastern Europe","NA","Men",1998,"Age standardised (30-79 years)",0.509452040609413,0.467111982615659,0.551088476859854,0.446962032350058,0.390093871296292,0.504327580133456,0.243076162790189,0.200308838804506,0.290659432600301,0.0419307942391193,0.0286951572991371,0.0583835196092994,0.264289602116084,0.225744103198174,0.304665975557684
"Central and Eastern Europe","NA","Men",1999,"Age standardised (30-79 years)",0.510040672273427,0.469141493310518,0.550233644314265,0.455693621991218,0.39992234500444,0.511929292298894,0.253682506720736,0.211216588503785,0.300410044816135,0.0457637380265435,0.0320935151841489,0.0630940558786373,0.257472899690267,0.22122239932137,0.295490086865774
"Central and Eastern Europe","NA","Men",2000,"Age standardised (30-79 years)",0.510720129334406,0.471272557833389,0.550079930347362,0.464209033295431,0.410415227146003,0.51904495056527,0.264280505992611,0.22245329012644,0.310323269722069,0.0497618482013455,0.0356538094212222,0.0678178851714211,0.250845773000727,0.21621885907484,0.286887148495487
"Central and Eastern Europe","NA","Men",2001,"Age standardised (30-79 years)",0.511465714437782,0.472710945536069,0.550097540111487,0.472594750828772,0.420708260544297,0.525747050748295,0.274901077023527,0.23294608523531,0.320175633735107,0.0539497168724035,0.0391921207786446,0.0722609616600014,0.244356176473819,0.210585463545826,0.278925816895686
"Central and Eastern Europe","NA","Men",2002,"Age standardised (30-79 years)",0.512351758468967,0.474329078624693,0.549892001716625,0.48086924584849,0.42947792214758,0.532769845500039,0.285565166535908,0.244434711452036,0.330745997440566,0.0583671346275497,0.0429143954934572,0.0775400348804768,0.237997482231404,0.205820613443332,0.271593003589462
"Central and Eastern Europe","NA","Men",2003,"Age standardised (30-79 years)",0.51328688459179,0.476481664776234,0.549668898546255,0.489033265837757,0.438836987114813,0.539046624706181,0.29634814424084,0.255986515825145,0.340837540139337,0.063107821117579,0.0470539590017433,0.0825689648588564,0.23161391998366,0.200946129178015,0.264143602402442
"Central and Eastern Europe","NA","Men",2004,"Age standardised (30-79 years)",0.514159743468331,0.478215858616107,0.549813557555842,0.497064719605014,0.447864336656008,0.546029317917072,0.307172990050248,0.267412858802903,0.351331986608765,0.068200861549075,0.0519269668050252,0.0885009732279801,0.225210818485094,0.195680165114638,0.256488425610554
"Central and Eastern Europe","NA","Men",2005,"Age standardised (30-79 years)",0.514856622920122,0.479849544941281,0.549269800231313,0.50502551329472,0.456757969376184,0.552183895799957,0.317873593086107,0.279064969267187,0.360902535100304,0.073544070842255,0.0567753439299632,0.0941704019277692,0.218936490619824,0.191305415978738,0.248740121890426
"Central and Eastern Europe","NA","Men",2006,"Age standardised (30-79 years)",0.515252188976474,0.481791092500592,0.548418373933511,0.513011854434174,0.466176451469891,0.557867284771418,0.328199695886381,0.290379134421384,0.371124426914916,0.0789970433071609,0.0616735697742962,0.0995854858221259,0.212950544020511,0.186167959438419,0.241519108847871
"Central and Eastern Europe","NA","Men",2007,"Age standardised (30-79 years)",0.515232304970755,0.482875393127599,0.54730596288117,0.521201632189047,0.475283452240934,0.564393522731308,0.338358817246946,0.300688406753627,0.379996970686494,0.0847079826499818,0.0671738831819431,0.105589885090422,0.207205620292745,0.181500549318732,0.234983922590117
"Central and Eastern Europe","NA","Men",2008,"Age standardised (30-79 years)",0.514724307802499,0.484138854417939,0.545992514973781,0.529674248757792,0.485230802541608,0.57126957236903,0.348582725789373,0.311984652011677,0.389388689663427,0.0907670298559437,0.0727213719749835,0.11235039311355,0.201618610785481,0.17722554119897,0.227759392955381
"Central and Eastern Europe","NA","Men",2009,"Age standardised (30-79 years)",0.51378949069724,0.484075357302299,0.543834627653157,0.538478941654715,0.495973633546496,0.57843621841944,0.358828567353007,0.322858671364168,0.398297632771985,0.0971512325906867,0.0787482185013073,0.119023104331466,0.196214203127955,0.173013309892069,0.221034314787014
"Central and Eastern Europe","NA","Men",2010,"Age standardised (30-79 years)",0.512347144900916,0.48391246435311,0.541667389608558,0.547590482783315,0.5062990185576,0.587169395537206,0.369010114045859,0.33305321769604,0.407525340370776,0.103888064973944,0.0847912335245981,0.126152728036442,0.191114577889657,0.168260490176626,0.215136380901448
"Central and Eastern Europe","NA","Men",2011,"Age standardised (30-79 years)",0.510503766091943,0.482038251797718,0.539219449760216,0.556884398003782,0.517156068990738,0.595960876045638,0.379039264034424,0.342773364422946,0.417738664814372,0.110791421536817,0.0911477376886184,0.13324213555664,0.186339764674445,0.164172139303653,0.209651130286039
"Central and Eastern Europe","NA","Men",2012,"Age standardised (30-79 years)",0.508360418448804,0.480096064458788,0.536717935624647,0.566227188662456,0.527676518555865,0.604497227000432,0.388860665659048,0.352036365875923,0.427694344240948,0.117911640447154,0.0974500954267052,0.141624064430952,0.181836923546224,0.160099167050882,0.205064308714965
"Central and Eastern Europe","NA","Men",2013,"Age standardised (30-79 years)",0.505989324547913,0.476734545463312,0.534532284819075,0.575542973620768,0.537655611948951,0.613405740571038,0.398594293750358,0.35990842047215,0.438259557860713,0.125229537619733,0.103710864736439,0.149719801281152,0.177571726876524,0.155822937864664,0.200680334145852
"Central and Eastern Europe","NA","Men",2014,"Age standardised (30-79 years)",0.503440114271091,0.472637497880221,0.53282962449781,0.584767733498229,0.545047689080278,0.622900557456715,0.408234968855845,0.367296910452766,0.449373307098068,0.13268724060036,0.109424934194766,0.15902361277998,0.173489811858998,0.151173662613625,0.197403669535744
"Central and Eastern Europe","NA","Men",2015,"Age standardised (30-79 years)",0.500829905184746,0.468201648028792,0.532800538607494,0.593971846856194,0.552296043300753,0.633216641203573,0.417787769176677,0.374452789036669,0.46204565878736,0.140274020818647,0.114519791320248,0.170021142362248,0.16962247738182,0.146375438573683,0.194097661141891
"Central and Eastern Europe","NA","Men",2016,"Age standardised (30-79 years)",0.498147796959133,0.461991717953058,0.533016148330445,0.603040513468612,0.558858517624689,0.645717276682672,0.427244847528711,0.3797624118201,0.475273925114969,0.148076052667503,0.118243530088224,0.181671347909238,0.165950596865892,0.141015301562135,0.192249681633986
