"Country/Region/World","ISO","Sex","Year","Mean systolic blood pressure (mmHg)","Mean systolic blood pressure lower 95% uncertainty interval (mmHg)","Mean systolic blood pressure upper 95% uncertainty interval (mmHg)","Mean diastolic blood pressure (mmHg)","Mean diastolic blood pressure lower 95% uncertainty interval (mmHg)","Mean diastolic blood pressure upper 95% uncertainty interval (mmHg)","Prevalence of raised blood pressure","Prevalence of raised blood pressure lower 95% uncertainty interval","Prevalence of raised blood pressure upper 95% uncertainty interval"
"Central and Eastern Europe",NA,"Men",1975,133.547400778472,129.647949067878,137.596272034799,83.9650049999472,81.2285948994842,86.709549087544,0.438300962078533,0.346441759126448,0.529931738680539
"Central and Eastern Europe",NA,"Men",1976,133.603273289664,129.992316939577,137.302865717754,84.0223767349799,81.5225343727295,86.5533800873037,0.43880950950199,0.35221093343667,0.524650233723558
"Central and Eastern Europe",NA,"Men",1977,133.6522109944,130.328137624462,137.067456546683,84.0757227554326,81.7835931142387,86.3935183984606,0.439134027142297,0.357802301660896,0.519018721255573
"Central and Eastern Europe",NA,"Men",1978,133.693097893634,130.591796205432,136.798085918127,84.1231301343843,82.0179343234832,86.244858814215,0.439207797007696,0.363374565597031,0.513494454012409
"Central and Eastern Europe",NA,"Men",1979,133.72632998522,130.858736271043,136.589831699963,84.1635134184202,82.248724472756,86.1296949680625,0.439064960833644,0.367969878531013,0.508750598703659
"Central and Eastern Europe",NA,"Men",1980,133.74984654894,131.106392947093,136.384904025724,84.1974579468909,82.4158512395583,85.9839411686916,0.438718472543832,0.37222952340188,0.503493642111226
"Central and Eastern Europe",NA,"Men",1981,133.757609768487,131.344140688127,136.169642257571,84.2208494883107,82.5950609956443,85.8794245867197,0.438008792364977,0.375272061912064,0.49929420521613
"Central and Eastern Europe",NA,"Men",1982,133.74659176332,131.534788552176,135.99030939508,84.2305605386513,82.7501528232844,85.754127139294,0.436870434924625,0.378024176758271,0.495808431162718
"Central and Eastern Europe",NA,"Men",1983,133.72065077269,131.669532189563,135.82454353537,84.2292278188781,82.8633793463905,85.6520108760797,0.435413695775941,0.380241196155747,0.491097958353484
"Central and Eastern Europe",NA,"Men",1984,133.678277720699,131.772022159404,135.62426423419,84.2144535374951,82.9393588155224,85.5409834249061,0.433623527956827,0.381447811493695,0.486577009274787
"Central and Eastern Europe",NA,"Men",1985,133.619004741489,131.797588523258,135.397679863165,84.1873024589789,82.9814952110453,85.4240380584815,0.431576225666822,0.381817408102738,0.48233031659151
"Central and Eastern Europe",NA,"Men",1986,133.539327720861,131.824024748252,135.224629541848,84.1448298980085,82.9964253225446,85.3053678446018,0.429152839504339,0.381384287793638,0.47795672934522
"Central and Eastern Europe",NA,"Men",1987,133.449695351505,131.812875422228,135.077172694318,84.0916405240052,83.0062473169646,85.2016707745983,0.426528687095239,0.380149233939906,0.473766137044713
"Central and Eastern Europe",NA,"Men",1988,133.351101279351,131.782673404763,134.915293798108,84.0288887446901,82.9672616941152,85.115378517856,0.423712065438852,0.378535523715438,0.469067391670931
"Central and Eastern Europe",NA,"Men",1989,133.248986327083,131.706145891765,134.776264040696,83.958421254958,82.9274879844818,85.0017452224541,0.420754687987286,0.376712800689156,0.464292320696383
"Central and Eastern Europe",NA,"Men",1990,133.144791624112,131.615889455571,134.649416386423,83.8832240124604,82.868574981303,84.9167556697971,0.417680428614291,0.374808119445265,0.460292637952151
"Central and Eastern Europe",NA,"Men",1991,133.022978694299,131.537245310174,134.48855058653,83.7961937195331,82.7949749994909,84.8082047927334,0.414151397233896,0.372535034716818,0.455554691121601
"Central and Eastern Europe",NA,"Men",1992,132.898866440495,131.38429769064,134.355421351129,83.7076940866053,82.7248027421266,84.6972250312424,0.410445641211621,0.369191677220288,0.451458368724486
"Central and Eastern Europe",NA,"Men",1993,132.778221583707,131.2779393518,134.2346842837,83.6214938577287,82.6408574057659,84.5975948465494,0.406612545536355,0.366227580780116,0.446619867489407
"Central and Eastern Europe",NA,"Men",1994,132.66609030218,131.121586272853,134.137620670849,83.5418517130957,82.5653487093183,84.5325277740783,0.40265074199109,0.362868623688246,0.442066728274719
"Central and Eastern Europe",NA,"Men",1995,132.563220369174,131.002489664565,134.031412017686,83.4643346689115,82.471344381303,84.4582767256602,0.398604221004595,0.358973790808191,0.437648069220423
