"Year","Sex","Country/Region/World","ISO","Prevalence of BMI<18.5 kg/m² (underweight)","Prevalence of BMI<18.5 kg/m² (underweight) upper 95% uncertainty interval","Prevalence of BMI<18.5 kg/m² (underweight) lower 95% uncertainty interval","Prevalence of BMI>=30 kg/m² (obesity)","Prevalence of BMI>=30 kg/m² (obesity) upper 95% uncertainty interval","Prevalence of BMI>=30 kg/m² (obesity) lower 95% uncertainty interval","Combined prevalence of BMI<18.5 kg/m² and BMI>=30 kg/m² (double burden of underweight and obesity)","Combined prevalence of BMI<18.5 kg/m² and BMI>=30 kg/m² (double burden of underweight and obesity) upper 95% uncertainty interval","Combined prevalence of BMI<18.5 kg/m² and BMI>=30 kg/m² (double burden of underweight and obesity) lower 95% uncertainty interval","Prevalence of BMI 18.5 kg/m² to <20 kg/m²","Prevalence of BMI 18.5 kg/m² to <20 kg/m² upper 95% uncertainty interval","Prevalence of BMI 18.5 kg/m² to <20 kg/m² lower 95% uncertainty interval","Prevalence of BMI 20 kg/m² to <25 kg/m²","Prevalence of BMI 20 kg/m² to <25 kg/m² upper 95% uncertainty interval","Prevalence of BMI 20 kg/m² to <25 kg/m² lower 95% uncertainty interval","Prevalence of BMI 25 kg/m² to <30 kg/m²","Prevalence of BMI 25 kg/m² to <30 kg/m² upper 95% uncertainty interval","Prevalence of BMI 25 kg/m² to <30 kg/m² lower 95% uncertainty interval","Prevalence of BMI 30 kg/m² to <35 kg/m²","Prevalence of BMI 30 kg/m² to <35 kg/m² upper 95% uncertainty interval","Prevalence of BMI 30 kg/m² to <35 kg/m² lower 95% uncertainty interval","Prevalence of BMI 35 kg/m² to <40 kg/m²","Prevalence of BMI 35 kg/m² to <40 kg/m² upper 95% uncertainty interval","Prevalence of BMI 35 kg/m² to <40 kg/m² lower 95% uncertainty interval","Prevalence of BMI >=40 kg/m² (morbid obesity)","Prevalence of BMI >=40 kg/m² (morbid obesity) upper 95% uncertainty interval","Prevalence of BMI >=40 kg/m² (morbid obesity) lower 95% uncertainty interval"
1990,"Women","Central and eastern Europe",NA,0.030044866296273395,0.03575981907546572,0.02514068977752416,0.2094952582323901,0.22392591728625216,0.19523364528038112,0.23954012452866352,0.25482930140840115,0.22450379742485901,0.06555119762465192,0.07309923176256139,0.058771062664761245,0.3916651455480574,0.4089604049277573,0.37447104391697683,0.30324353029862716,0.3204838098572289,0.2863180696299141,0.14667171973904639,0.1602962939184712,0.133492182988796,0.04667845719578548,0.054433661501035575,0.039959716162697,0.016145081297558234,0.020396736197626174,0.012840348006558455
1991,"Women","Central and eastern Europe",NA,0.030754805750922282,0.036186968726760645,0.02608788505647092,0.20979535882243472,0.22347361311590752,0.19660396678168543,0.240550164573357,0.2549160072993095,0.22649110446070334,0.06604383076186494,0.07298997471386358,0.05977291502361645,0.39194734337862225,0.40799047840872776,0.3760654228826948,0.30145865928615584,0.31755650966395577,0.2859259504267006,0.14633854508505978,0.15887852776053701,0.1342712207742465,0.0470473145341801,0.0544488750565139,0.04081301849125943,0.016409499203194847,0.020465383287128245,0.013231407022784298
1992,"Women","Central and eastern Europe",NA,0.03145197731626914,0.03655035524036558,0.02698156157785587,0.21030809363758124,0.22314737693166242,0.19803940684833257,0.24176007095385038,0.25541716466493747,0.22843468102687312,0.06649666551234103,0.07290888991033177,0.06068529504869345,0.3919846717306566,0.40704948247660966,0.37704300826841847,0.29975858980315195,0.31442609995835846,0.2852658918273846,0.1461426332740877,0.15811749659913762,0.13481567491108085,0.047469876143979725,0.05442666834717926,0.04161658102850785,0.01669558421951381,0.020577409050556078,0.013645284555916267
1993,"Women","Central and eastern Europe",NA,0.032137242308568306,0.0369090475289396,0.02795264692185401,0.2109479827722492,0.22294676759709056,0.19943009324175237,0.2430852250808175,0.2559928437704823,0.23060765722469342,0.06692172006604116,0.072914554841209,0.06148905860237246,0.3918260698595748,0.40579047007131214,0.37798302999067074,0.2981669829935666,0.3119163009728329,0.2844804780341304,0.1460277449824324,0.15719341100667605,0.13538415837156834,0.047934764066843334,0.05442523824576246,0.042360718923134005,0.016985473722973446,0.020743516463939106,0.014068130477394209
1994,"Women","Central and eastern Europe",NA,0.032806771534057436,0.03734433383697128,0.028777248940936605,0.21174201225085892,0.22318829546290778,0.2006787090015914,0.24454878378491635,0.25674316255829477,0.23286527027090861,0.0673242611867576,0.07297498203207822,0.06219331383690294,0.39147088768314586,0.4046014148541859,0.3785829148236269,0.2966560653451802,0.309519389724081,0.28389762524973655,0.1460048309505356,0.15645443264864814,0.1358307839490489,0.048454746813933317,0.05460214404277385,0.04302920965852326,0.01728243448639,0.020905472908942336,0.014474105294446262
1995,"Women","Central and eastern Europe",NA,0.03344437315817134,0.037800162567926794,0.029585629753642127,0.2127804594409783,0.22373434233723055,0.20223960876090122,0.24622483259914965,0.25768041678199444,0.23493818060703286,0.06769971273644322,0.07309349611652473,0.06282588392053902,0.39086674922637166,0.4033561326753445,0.3783756232846238,0.29520870343803546,0.3075077270427062,0.2831921455657386,0.1461274300074954,0.15607918621639746,0.13642519582057142,0.04905391094019479,0.05499930490132198,0.04389220224077361,0.017599118493288123,0.021138889773232004,0.014861749189934319
1996,"Women","Central and eastern Europe",NA,0.034037601605976964,0.03820546158362179,0.03030866481458569,0.2141552559213161,0.22459582104905795,0.20392190045132563,0.24819285752729306,0.2590734378185442,0.23728863639775344,0.06803366435899232,0.07319862721140138,0.06333842482716588,0.3899466813120877,0.4017770393928759,0.37815677885125093,0.29382679480162693,0.305622440813792,0.28240734751393104,0.14645758980647405,0.15576602332830844,0.1372838400992748,0.04974091443187785,0.05555627003261094,0.0446916959428712,0.017956751682964185,0.02145602432478791,0.015185793908986573
1997,"Women","Central and eastern Europe",NA,0.03457531369711246,0.0386757354313287,0.030927875232174933,0.21585079373686264,0.22582296636751897,0.20582540649641787,0.2504261074339751,0.2607886683005853,0.23983437557820347,0.0683376109495449,0.0732571073935092,0.0637709791127834,0.388730863247986,0.40012237012782614,0.37738482810511037,0.29250541636849403,0.3037241540638032,0.281478344372733,0.14699522842577095,0.15606388349861314,0.13814444475869123,0.050510917617283636,0.056186625877437286,0.045509264133423655,0.01834464769380805,0.02185030818114777,0.015605532111459123
1998,"Women","Central and eastern Europe",NA,0.03505471615355368,0.03907229082701947,0.03147489824026252,0.21775751605571192,0.22744387010765185,0.20803339759315764,0.2528122322092656,0.262994802102459,0.24252649363339093,0.06861217179147466,0.07335831351975268,0.06424449945689009,0.3872888930894639,0.39803452706785775,0.3763862554940557,0.2912867009097958,0.3021488684251941,0.28083231553921173,0.14766249895071504,0.15656254581333803,0.13897866697254227,0.05133987165427654,0.056898187672024376,0.04640507131833954,0.018755145450720333,0.022154509033577078,0.01601811228394762
1999,"Women","Central and eastern Europe",NA,0.03547971725908705,0.03937587325153801,0.031976187632729705,0.21980398131746987,0.22923196347732688,0.2103829154719149,0.2552836985765569,0.26528605805900873,0.24516324445823584,0.0688565479538764,0.07342137565373666,0.06459241130232002,0.385678498735234,0.3961991717954648,0.3752809651840016,0.29018125273433276,0.30060126568141093,0.2801238406503553,0.1484264001659702,0.15716998934008036,0.13980290192988204,0.052198577064739154,0.05771348060545764,0.047250368005900156,0.01917900408676052,0.022615590005392868,0.016370389872165318
