"Year","Sex","Age group","Country/Region/World","ISO","Prevalence of BMI < -2SD (thinness)","Prevalence of BMI < -2SD (thinness) lower 95% uncertainty interval","Prevalence of BMI < -2SD (thinness) upper 95% uncertainty interval","Prevalence of BMI > 2SD (obesity)","Prevalence of BMI > 2SD (obesity) lower 95% uncertainty interval","Prevalence of BMI > 2SD (obesity) upper 95% uncertainty interval","Combined prevalence of BMI < -2SD and BMI > 2SD (double burden of thinness and obesity)","Combined prevalence of BMI < -2SD and BMI > 2SD (double burden of thinness and obesity) lower 95% uncertainty interval","Combined prevalence of BMI < -2SD and BMI > 2SD (double burden of thinness and obesity) upper 95% uncertainty interval","Prevalence of -2SD ≤ BMI < -1SD","Prevalence of -2SD ≤ BMI < -1SD lower 95% uncertainty interval","Prevalence of -2SD ≤ BMI < -1SD upper 95% uncertainty interval","Prevalence of -1SD ≤ BMI ≤ 1SD","Prevalence of -1SD ≤ BMI ≤ 1SD lower 95% uncertainty interval","Prevalence of -1SD ≤ BMI ≤ 1SD upper 95% uncertainty interval","Prevalence of 1SD < BMI ≤ 2SD","Prevalence of 1SD < BMI ≤ 2SD lower 95% uncertainty interval","Prevalence of 1SD < BMI ≤ 2SD upper 95% uncertainty interval"
1990,"Girls",5,"Central and eastern Europe",NA,0.04453537523605575,0.03375391793740611,0.05691125735551352,0.05130936451443682,0.03753381190842178,0.06846648473110128,0.09584473975049258,0.0782645085567357,0.11584214522966838,0.13236526114752337,0.11373309031187312,0.15253247097247716,0.6398561661275964,0.6132221625970603,0.6674306673812253,0.13193383297438752,0.11070427672452605,0.15594309666981182
1991,"Girls",5,"Central and eastern Europe",NA,0.04432943408286536,0.034297940019452106,0.05585605988853076,0.052948083073013026,0.040090259928992164,0.06855196053561437,0.09727751715587839,0.08077815593327817,0.11562157986842832,0.13323674177578684,0.11539244559332243,0.15206201633536598,0.6382980608340547,0.6139770275780566,0.6634735713929341,0.13118768023428004,0.11203452098000766,0.15252676192726458
1992,"Girls",5,"Central and eastern Europe",NA,0.04416653651891314,0.03460535078185094,0.05497276761954893,0.05450851086858556,0.042383194830079074,0.06897283869251052,0.0986750473874987,0.08322934672189222,0.11567181955688122,0.134383195226862,0.1176243609407607,0.15203320357201824,0.6367092406542386,0.6137043214172969,0.6601377107810364,0.13023251673140057,0.11282855406642367,0.1497100629828511
1993,"Girls",5,"Central and eastern Europe",NA,0.044035109331317907,0.034854846022250856,0.05424802872316019,0.05594630430336621,0.0444655322301929,0.06961503142112148,0.09998141363468412,0.08545427355737227,0.11620185202044916,0.13579850556694234,0.11974654360925444,0.15292618043032347,0.6351476927074114,0.6134297829527247,0.6570988736280101,0.12907238809096216,0.11309273096702753,0.1469381617442246
1994,"Girls",5,"Central and eastern Europe",NA,0.043890008056617115,0.034962795220245244,0.05344852652849424,0.057234990172935304,0.04629987764935266,0.07037899914324997,0.10112499822955241,0.08715552458436339,0.11629473814409524,0.13742887296862713,0.12199243777147312,0.1540954429582694,0.6337034434533191,0.6129387203192644,0.654258776975681,0.1277426853485013,0.11270636655636106,0.1442316440533733
1995,"Girls",5,"Central and eastern Europe",NA,0.04364936384836886,0.03485365290158172,0.05285513584288757,0.0584501928324592,0.04788510563447339,0.07079693002162996,0.10209955668082805,0.08858365138418818,0.11665468716813594,0.1390765533291775,0.12400024356759239,0.15538869171235464,0.632395998364112,0.6121656449435987,0.6521646086261896,0.12642789162588236,0.11219224105382923,0.14196571790695944
1996,"Girls",5,"Central and eastern Europe",NA,0.043292502358353795,0.03471778291387529,0.052365992855674996,0.05961157435297257,0.04919894145820872,0.07168159552137805,0.10290407671132636,0.0896370988715665,0.11703799473355696,0.140606249025787,0.12592269186686572,0.15661209751002303,0.631237069765441,0.6113748837971643,0.6505241052039773,0.12525260449744563,0.11119624833431235,0.14052022392552474
1997,"Girls",5,"Central and eastern Europe",NA,0.04279527813012126,0.034424155556597044,0.0518495202062403,0.06060703351890318,0.050032323667888304,0.07241707418400006,0.10340231164902444,0.0900943942790922,0.11710024144955941,0.14193593505078927,0.12730998634977658,0.15763998685126032,0.6304292946427817,0.6106225361286289,0.649321911053642,0.1242324586574045,0.11034292649613159,0.13920766623517325
1998,"Girls",5,"Central and eastern Europe",NA,0.042163349469140445,0.03405377531999051,0.051109203391610195,0.061462573312607155,0.0509257338854525,0.07317784241582502,0.1036259227817476,0.09055670055987097,0.11725653491113493,0.14297646003064562,0.12866333292634302,0.158460137163095,0.6299535202666738,0.6105288703387952,0.6484785884500854,0.12344409692093279,0.10958859391511475,0.13784139153985941
1999,"Girls",5,"Central and eastern Europe",NA,0.04144589003347688,0.03347617717330486,0.05012417048415517,0.062284603851073775,0.05158435889310626,0.07402301464481482,0.10373049388455065,0.09071835804358276,0.11738945829019838,0.14367150662301326,0.12944039499144638,0.1591640982776337,0.6295806983558337,0.6107685575000288,0.6478545445632429,0.12301730113660242,0.10929549513424203,0.13732209531585027
2000,"Girls",5,"Central and eastern Europe",NA,0.04073125221634354,0.032919060743638096,0.04928340618546776,0.0632909854562242,0.05267321409405378,0.07512167901368189,0.10402223767256774,0.09100206854310926,0.11770127508063596,0.1440339362311437,0.12988882449146355,0.15914694665162885,0.6288700836855211,0.6103186351427405,0.6468631062584558,0.12307374241076748,0.10962126612413649,0.1372122950165904
2001,"Girls",5,"Central and eastern Europe",NA,0.04005714133134106,0.03242405870959242,0.04834637071069309,0.064619259575937,0.0539742444344537,0.07647582457360727,0.10467640090727807,0.0918606680979666,0.1181220415066283,0.14409365679767555,0.1300319952973424,0.15905561183213007,0.6275151843962377,0.6092773658200148,0.6452657204464313,0.12371475789880877,0.11041326651103849,0.13767185739326918
2002,"Girls",5,"Central and eastern Europe",NA,0.03944983434465052,0.03196101295868283,0.047569630621747176,0.06632514325597594,0.055738081804672025,0.0780202890285943,0.10577497760062644,0.09317144816862044,0.11894837784459575,0.14391473195789864,0.12983365446741163,0.15872155240975533,0.6254236054290712,0.6073467250997086,0.6428891951271438,0.12488668501240373,0.11162944688977423,0.13861035741614633
2003,"Girls",5,"Central and eastern Europe",NA,0.03893893438855357,0.03158930126251587,0.047034764791548334,0.06844148424782871,0.05761439129923731,0.08015456398149949,0.10738041863638229,0.09477118780465861,0.12062412390819852,0.14354301009259962,0.1296657736809329,0.1582146649766233,0.6225166433476012,0.6046787769551388,0.639704156488683,0.1265599279234169,0.11353237506176857,0.14012944741135458
2004,"Girls",5,"Central and eastern Europe",NA,0.03849680914321174,0.03127658751007163,0.04657083742340945,0.07084385021258564,0.059733827926667836,0.08278879951788377,0.10934065935579738,0.09650611306677687,0.12254619812655422,0.14298045572739196,0.12912952289420865,0.15762655650027352,0.6190456418884384,0.6011775607209189,0.6360893663220127,0.12863324302837237,0.11575218373722308,0.14224814935041974
2005,"Girls",5,"Central and eastern Europe",NA,0.03807833256538164,0.03102396729291055,0.04601458581262539,0.07327215154544658,0.06197549855041772,0.08548065965318799,0.11135048411082822,0.09830463519766441,0.12475842004335695,0.1422537296180028,0.1283414032628012,0.1568614976412251,0.6154635622362116,0.5977654144740312,0.6322909744266766,0.13093222403495736,0.11826018994331255,0.14445205954618065
2006,"Girls",5,"Central and eastern Europe",NA,0.03767686825813313,0.030739261570964356,0.04549405989020219,0.0755070192657076,0.06381468049624547,0.08814647303013967,0.11318388752384073,0.09979315731639309,0.12672714624559792,0.14145165909742186,0.12762357370430105,0.15597692109928002,0.6121096682659602,0.5943886892715943,0.6289611457191567,0.13325478511277714,0.12027487572969267,0.1469291885429242
2007,"Girls",5,"Central and eastern Europe",NA,0.03732532756829924,0.030392489067007006,0.04530969940382937,0.07776833581174032,0.06563786293404539,0.09085164218992946,0.11509366338003957,0.10129022801832335,0.12900849630699696,0.14061407561244532,0.12686350724186599,0.15502344047472966,0.608607199321486,0.5903294372951915,0.6260299850030613,0.1356850616860292,0.12236417523760698,0.1497257559242854
2008,"Girls",5,"Central and eastern Europe",NA,0.03704383561145669,0.030053657189347164,0.04502540357662624,0.07994559578732552,0.0673594010236772,0.09386513989838181,0.1169894313987822,0.10288121340647528,0.13156856421710858,0.13981368191121357,0.1257148166194474,0.15431449095552818,0.6050799038993412,0.5865751990793854,0.622892889323833,0.13811698279066312,0.12452117748077252,0.15253587452129805
