"Country","ISO","Sex","Year","Age-standardised prevalence of diabetes (18+ years)","Age-standardised prevalence of diabetes (18+ years) lower 95% uncertainty interval","Age-standardised prevalence of diabetes (18+ years) upper 95% uncertainty interval","Age-standardised proportion of people with diabetes who were treated (30+ years)","Age-standardised proportion of people with diabetes who were treated (30+ years) lower 95% uncertainty interval","Age-standardised proportion of people with diabetes who were treated (30+ years) upper 95% uncertainty interval","Crude prevalence of diabetes (18+ years)","Crude prevalence of diabetes (18+ years) lower 95% uncertainty interval","Crude prevalence of diabetes (18+ years) upper 95% uncertainty interval","Crude proportion of people with diabetes who were treated (30+ years)","Crude proportion of people with diabetes who were treated (30+ years) lower 95% uncertainty interval","Crude proportion of people with diabetes who were treated (30+ years) upper 95% uncertainty interval"
"Indonesia","IDN","Men",1990,0.0482750595736187,0.0221567672899774,0.0868828487394958,0.179328241335417,0.0612554811455427,0.363901488759963,0.0395680375875734,0.0178008562184314,0.0735303487266498,0.178949931428187,0.0616983859170618,0.360894072380515
"Indonesia","IDN","Men",1991,0.0486828349874367,0.0232509035754876,0.0857190627938687,0.182017135790975,0.064053679724084,0.364193828899641,0.0398421659352873,0.0186071241979015,0.0718153383350238,0.181434854081527,0.0642278776446106,0.359188966749221
"Indonesia","IDN","Men",1992,0.049145210932749,0.024630589044237,0.0841818202458222,0.184881914297184,0.0666509609725812,0.363318175070143,0.0401835301820837,0.0194953102269976,0.0708355134653731,0.18404551083394,0.0664407872642811,0.360931396029366
"Indonesia","IDN","Men",1993,0.0496218923843419,0.0258299463070404,0.0836028977547782,0.187821540467736,0.0696074105693244,0.363760377574151,0.0405562072939506,0.0204423445565849,0.0699919085891034,0.186684188782178,0.0695574067025823,0.359821294094201
"Indonesia","IDN","Men",1994,0.0500965726980179,0.0267333267981498,0.0830129333010522,0.190776963217573,0.0714292144330259,0.365544944541434,0.0409374545022977,0.0213551222807614,0.0691061238859911,0.189289397285055,0.070829172733031,0.361193952575301
"Indonesia","IDN","Men",1995,0.0505675588635697,0.027692524878426,0.0824466237474097,0.19371743719954,0.0735537095813832,0.364361375577529,0.0413325053176034,0.0221468116551365,0.0685509104784488,0.191841696706106,0.0731744659640925,0.362537241032477
"Indonesia","IDN","Men",1996,0.0510120605627346,0.028467867908139,0.0814262018687893,0.196626118971889,0.0762954428379709,0.36648714732605,0.0417205834746089,0.0228908631715753,0.0680765051826234,0.194348588096537,0.075398484713332,0.360453337859347
"Indonesia","IDN","Men",1997,0.0514413341798327,0.0293702880622621,0.0809131465122368,0.199511126004785,0.0784765371177874,0.36809784031219,0.0421060662056217,0.0235760942754779,0.0676287313262376,0.196818477883072,0.077799061839019,0.362398312625854
"Indonesia","IDN","Men",1998,0.0518385333260275,0.029943905954953,0.0803152575723494,0.202333965837187,0.0824136725281707,0.369407467788954,0.0424786865846614,0.0240867677925306,0.0669810853978446,0.199222793385753,0.0806682519568812,0.364123624104984
"Indonesia","IDN","Men",1999,0.0522037112649965,0.0306351543559398,0.0796518363126856,0.205051466530201,0.0843336470141324,0.372031772986045,0.0428380821276408,0.0247275586952046,0.0663299348223146,0.201514734649081,0.0825492905282965,0.364851368838055
"Indonesia","IDN","Men",2000,0.0525657362172409,0.0315388344261859,0.0799577668216035,0.207681454663734,0.0869130998450468,0.373658359684809,0.0432140322870612,0.0253998245878925,0.0668189899940012,0.203743951564848,0.0852978129159204,0.366746099977471
"Indonesia","IDN","Men",2001,0.0529694122765207,0.0319169411362595,0.0799766930557031,0.210167892713754,0.0888930303197842,0.375407217402354,0.0436554667622656,0.0259383072223465,0.0669782693173546,0.205895872361231,0.0865563301703722,0.367462622186012
"Indonesia","IDN","Men",2002,0.053435630279534,0.0326243845225177,0.0796923671653823,0.212469121406973,0.0913435730562682,0.376835375864097,0.0441825434278539,0.0264089184481281,0.0671760680720541,0.207916679767819,0.0888731624135139,0.369452636576334
"Indonesia","IDN","Men",2003,0.0539723212495599,0.033160186217415,0.0800369625813011,0.214625724420862,0.0946279253272753,0.375751221719131,0.044816041537619,0.0269058792936429,0.0674270863501827,0.209834933232061,0.0915844991474472,0.369208865003077
"Indonesia","IDN","Men",2004,0.0546728720649107,0.0337865257991158,0.0808447971299573,0.216581419286108,0.0966130266451695,0.374507790278017,0.0456371281172062,0.027528601376742,0.0686266348822503,0.21159388960831,0.0938258773079341,0.367513659199293
"Indonesia","IDN","Men",2005,0.055536600796587,0.0343273890084264,0.0816472748814772,0.218201472270962,0.100955796084807,0.37344884630911,0.0466389431793117,0.0284204390782104,0.069466233834008,0.213084409124832,0.0977537436245802,0.366437401108185
"Indonesia","IDN","Men",2006,0.0565846850808252,0.0354030951687765,0.0828470613612742,0.21938474405022,0.103968576583744,0.371136111910345,0.0478349243004596,0.029458449983055,0.0710300813807297,0.214225876170357,0.101037118169936,0.364239107733542
"Indonesia","IDN","Men",2007,0.0578219720254956,0.0364992221632444,0.0847161181430355,0.220108807972519,0.10690441633951,0.366308737310218,0.049225910866973,0.0305335908658758,0.0726998623313655,0.214980048072476,0.104036151759109,0.359558624267558
"Indonesia","IDN","Men",2008,0.05928431060824,0.0376025756488478,0.0860405334976764,0.220325117163367,0.111088865941689,0.360651431317815,0.0508604948599393,0.031731278596094,0.0747394684873467,0.215281705832685,0.108067116105939,0.353585714653952
"Indonesia","IDN","Men",2009,0.0609581080759919,0.0392154044897029,0.0879591312046451,0.220114337935398,0.115239393818465,0.35477819199605,0.0527231837477696,0.033454400978541,0.0766473310002339,0.215206500309487,0.111738235114466,0.347515429585589
"Indonesia","IDN","Men",2010,0.0628514279649431,0.0409511734029229,0.0897466160077836,0.219424492474943,0.118932924068838,0.347500619723208,0.0548221797038477,0.0351074823059024,0.0793884306528341,0.214720243915538,0.115439022483582,0.341979397973804
"Indonesia","IDN","Men",2011,0.0649777066922403,0.0426839238197856,0.0923529370931405,0.218276524692501,0.121858399946085,0.338723018492756,0.05717784481602,0.0370457607904838,0.0820652001760287,0.213853054211715,0.118958928165638,0.333024690284739
"Indonesia","IDN","Men",2012,0.0673292403430794,0.0448923738302545,0.0950144985924566,0.216712333620815,0.12574431638684,0.328525717111651,0.05977842251772,0.0394069339546347,0.0852967581801941,0.212627943882737,0.122720504984416,0.324048074280313
"Indonesia","IDN","Men",2013,0.0699495537434582,0.0468730540371916,0.0978338732896292,0.214833134744926,0.128979196004341,0.319672902222965,0.0626700597345354,0.0416187595154461,0.0884699839275666,0.211138518160912,0.126188956150721,0.314143913932012
"Indonesia","IDN","Men",2014,0.072906180573468,0.0490637845990039,0.101772441574194,0.212709081463546,0.130870277437189,0.311355469841707,0.0659159525374717,0.0438952487612795,0.092959080538571,0.209456538276972,0.128456006789826,0.306435228183872
"Indonesia","IDN","Men",2015,0.0762152746158826,0.0510957043032258,0.106821471981669,0.210435644559296,0.132692632663263,0.30504928530551,0.0695371695105993,0.0460190581209943,0.0972923187687545,0.207693899119576,0.130971417655113,0.301591473984407
"Indonesia","IDN","Men",2016,0.0798681721264238,0.0532963102056268,0.111573369500656,0.207935766957334,0.131449782002445,0.298965194609158,0.0735498164260528,0.0485112417047774,0.103107978284177,0.205777968291483,0.130796049092514,0.296871996159638
"Indonesia","IDN","Men",2017,0.0838467572174664,0.055266045434809,0.117786197411569,0.205280204928698,0.130484792149592,0.296201923678577,0.0779611649807811,0.0510419330430609,0.110435597809078,0.203740985497018,0.129161512182197,0.295673005907733
"Indonesia","IDN","Men",2018,0.088149653484717,0.0567153705823351,0.125915141325398,0.202637405564187,0.125990265122535,0.295369684604938,0.0827809642391493,0.0527873594587536,0.119109515607299,0.201717474892698,0.124746429228066,0.294069936708551
