"Country/Region/World","ISO","Sex","Year","Age","Prevalence of diabetes (18+ years)","Prevalence of diabetes (18+ years) lower 95% uncertainty interval","Prevalence of diabetes (18+ years) upper 95% uncertainty interval","Proportion of people with diabetes who were treated (30+ years)","Proportion of people with diabetes who were treated (30+ years) lower 95% uncertainty interval","Proportion of people with diabetes who were treated (30+ years) upper 95% uncertainty interval"
"Central Asia, Middle East and north Africa",NA,"Men",1990,"Age-standardised",0.087734554546096,0.067910142107161,0.110447834375761,0.317964163928027,0.229092375321407,0.421330542201147
"Central Asia, Middle East and north Africa",NA,"Men",1991,"Age-standardised",0.0894498372836779,0.0707413420599523,0.111066442368779,0.321752993232892,0.237816666495244,0.4178205130177
"Central Asia, Middle East and north Africa",NA,"Men",1992,"Age-standardised",0.0915228121155989,0.0738625519009591,0.111730602521689,0.326262657918317,0.246543685770454,0.415578080991495
"Central Asia, Middle East and north Africa",NA,"Men",1993,"Age-standardised",0.0937222384296146,0.0768086971519489,0.112818603134312,0.330652336449807,0.255381259068315,0.415515178954722
"Central Asia, Middle East and north Africa",NA,"Men",1994,"Age-standardised",0.0959958445553179,0.0799291495218135,0.114014771659579,0.334967881803576,0.26356601250319,0.414582521168526
"Central Asia, Middle East and north Africa",NA,"Men",1995,"Age-standardised",0.0982876726362305,0.0828192558349523,0.115271318069905,0.339437235873544,0.27148124090726,0.413384082757272
"Central Asia, Middle East and north Africa",NA,"Men",1996,"Age-standardised",0.100723445629793,0.0859203052970737,0.116686694772244,0.34418492754929,0.279115002818594,0.413311271345991
"Central Asia, Middle East and north Africa",NA,"Men",1997,"Age-standardised",0.10325923766878,0.0894711049111978,0.118440817109029,0.349237325877115,0.286799547021138,0.415025505203899
"Central Asia, Middle East and north Africa",NA,"Men",1998,"Age-standardised",0.105880575458166,0.092735210504829,0.120269366486212,0.354567225538464,0.296102537470823,0.41659517888619
"Central Asia, Middle East and north Africa",NA,"Men",1999,"Age-standardised",0.108581038158399,0.0959963175810692,0.122251119670637,0.360099423357021,0.304508200276679,0.418800946179741
"Central Asia, Middle East and north Africa",NA,"Men",2000,"Age-standardised",0.111344595016187,0.0993033528729573,0.124352933657375,0.365797911678133,0.31331510120096,0.420858432046577
"Central Asia, Middle East and north Africa",NA,"Men",2001,"Age-standardised",0.114200726838713,0.102678509134911,0.126456456264457,0.371661305897637,0.322234967149488,0.423529005021824
"Central Asia, Middle East and north Africa",NA,"Men",2002,"Age-standardised",0.117166047967944,0.105992085695274,0.129160392924606,0.377770436130132,0.330685143014666,0.426232312470114
"Central Asia, Middle East and north Africa",NA,"Men",2003,"Age-standardised",0.120165590464346,0.109319281277174,0.131704330073821,0.384186094700828,0.339614983172898,0.430393140813243
"Central Asia, Middle East and north Africa",NA,"Men",2004,"Age-standardised",0.123230487584141,0.112505681893136,0.134402832364434,0.390754126910598,0.348809893785063,0.434228498302374
