"Country/Region/World","ISO","Sex","Year","Age","Prevalence of diabetes (18+ years)","Prevalence of diabetes (18+ years) lower 95% uncertainty interval","Prevalence of diabetes (18+ years) upper 95% uncertainty interval","Proportion of people with diabetes who were treated (30+ years)","Proportion of people with diabetes who were treated (30+ years) lower 95% uncertainty interval","Proportion of people with diabetes who were treated (30+ years) upper 95% uncertainty interval"
"Global",NA,"Men",1990,"Crude",0.0581671083525874,0.0486308809506494,0.0687885643400499,0.286080862454414,0.232840631168693,0.34919466335765
"Global",NA,"Men",1991,"Crude",0.0594285296977465,0.0503177477937663,0.0692499559662577,0.287936136534273,0.238055410348732,0.347406954866648
"Global",NA,"Men",1992,"Crude",0.0608120335109369,0.0520901550189146,0.0701246223160583,0.289885831766829,0.24278079184982,0.345672749971815
"Global",NA,"Men",1993,"Crude",0.0623094277111527,0.053979854428492,0.071258566045639,0.291744355481927,0.247187433698826,0.343939501820826
"Global",NA,"Men",1994,"Crude",0.0638733009376575,0.0558587006512154,0.0725840157396599,0.293724414145792,0.251808524953346,0.342479023848348
"Global",NA,"Men",1995,"Crude",0.0654847219072031,0.0576921719878557,0.0738804592085878,0.295840907832335,0.256385737483595,0.341734528197811
"Global",NA,"Men",1996,"Crude",0.0671694853619613,0.0595416912140336,0.0751383299700387,0.298146813768005,0.260386633979407,0.34120128122406
"Global",NA,"Men",1997,"Crude",0.0689368917040552,0.0615498484448641,0.076580585812307,0.300688020764788,0.264935579111478,0.34102588640994
"Global",NA,"Men",1998,"Crude",0.070779903799566,0.0637080722203538,0.0781853489367498,0.30328111882285,0.269488987958906,0.341056019033112
"Global",NA,"Men",1999,"Crude",0.0727022524974874,0.0659200853482775,0.0798158266551735,0.305972625028178,0.274175729706881,0.340953817445059
"Global",NA,"Men",2000,"Crude",0.0747082283677227,0.0681599977398031,0.0815455095902992,0.308890575538158,0.27900536670879,0.341561329641574
