"Country/Region/World","ISO","Sex","Year","Mean total cholesterol (mmol/L)","Mean total cholesterol lower 95% uncertainty interval (mmol/L)","Mean total cholesterol upper 95% uncertainty interval (mmol/L)","Mean non-HDL cholesterol (mmol/L)","Mean non-HDL cholesterol lower 95% uncertainty interval (mmol/L)","Mean non-HDL cholesterol upper 95% uncertainty interval (mmol/L)","Mean HDL cholesterol (mmol/L)","Mean HDL cholesterol lower 95% uncertainty interval (mmol/L)","Mean HDL cholesterol upper 95% uncertainty interval (mmol/L)"
"Central and Eastern Europe",NA,"Men",1980,5.52536549994118,5.27726248553002,5.77986525708453,4.21919471579081,4.05701701869074,4.37674685068463,1.31915447180982,1.215542300189,1.41855583938498
"Central and Eastern Europe",NA,"Men",1981,5.51139209087675,5.28571469437306,5.74480675863352,4.20925384589087,4.05490038483524,4.35499451532812,1.31621385814734,1.22233003035036,1.40704729719675
"Central and Eastern Europe",NA,"Men",1982,5.4968178621745,5.29462190161492,5.70768771990359,4.19830113062839,4.05567337375988,4.33355597432355,1.31357910117426,1.22842840236585,1.39561336406904
"Central and Eastern Europe",NA,"Men",1983,5.4816796616458,5.29817970378086,5.67268194027742,4.18643091189465,4.05477132070695,4.31326526907067,1.31114693407581,1.23307394392633,1.38600674601428
"Central and Eastern Europe",NA,"Men",1984,5.46607373747855,5.29766512240542,5.63814062822691,4.17376922709275,4.05338484158301,4.29445658080988,1.30891085454662,1.23677085144755,1.37736487914155
"Central and Eastern Europe",NA,"Men",1985,5.4500492853227,5.2952360830995,5.6070586699356,4.16038555647744,4.04600196465605,4.2755825896752,1.30687645774782,1.24080429308112,1.36981573466747
"Central and Eastern Europe",NA,"Men",1986,5.43337741076833,5.2886262711529,5.58000098462936,4.14595734867286,4.03692258249953,4.25726176018708,1.30501380593862,1.24330263446351,1.3629383547062
"Central and Eastern Europe",NA,"Men",1987,5.41588772091424,5.27839536705181,5.55562157708897,4.13028303939834,4.02580177086043,4.23655250711385,1.30329010147687,1.24444087536494,1.35882363766823
"Central and Eastern Europe",NA,"Men",1988,5.39751308943749,5.26653176086252,5.5294904840294,4.11316561482554,4.01197836226584,4.21562195450202,1.3016164397454,1.24622888972936,1.3546881552903
"Central and Eastern Europe",NA,"Men",1989,5.37784664951719,5.25081384879645,5.50450776978167,4.09409315537487,3.99601100579723,4.19363384353429,1.29995015853319,1.24693503904722,1.35150631425204
"Central and Eastern Europe",NA,"Men",1990,5.35677573474225,5.23213120735457,5.48075155130689,4.07278369628239,3.97743319239071,4.16988139378616,1.29842414666226,1.24697834452849,1.34838697955009
"Central and Eastern Europe",NA,"Men",1991,5.33472681232586,5.21010659185228,5.45499193981451,4.04983703935107,3.95551225842503,4.14560820030158,1.29706645273413,1.24677468025345,1.34614344238643
"Central and Eastern Europe",NA,"Men",1992,5.31221978411417,5.18864849579498,5.43162609590511,4.02593124070517,3.93466192255553,4.11954203233107,1.29595061194357,1.24559149262331,1.34563886700893
"Central and Eastern Europe",NA,"Men",1993,5.28988554943551,5.1671266710582,5.40918999864848,4.0019845527738,3.91305952844212,4.09436193590678,1.29514647210624,1.2443793614739,1.34499571574099
"Central and Eastern Europe",NA,"Men",1994,5.26810307208106,5.14515338862958,5.38655729739429,3.97850044474868,3.88963428888572,4.07023255447142,1.29480184838344,1.24387750906458,1.34511927062097
"Central and Eastern Europe",NA,"Men",1995,5.24709501646371,5.12334825720419,5.3649058486184,3.9557564212726,3.8674967761488,4.04601468078475,1.29482136758687,1.24391109900753,1.34606991331561
"Central and Eastern Europe",NA,"Men",1996,5.22704903986007,5.10073311387492,5.34539909859252,3.93394795848797,3.84627020716425,4.0238094407577,1.29519490957812,1.2431114868659,1.34660670985655
"Central and Eastern Europe",NA,"Men",1997,5.2081328242488,5.07939011005209,5.32813489200041,3.91333811826555,3.82583718841253,4.00158352590522,1.29598780063594,1.24365007112408,1.34773186469126
"Central and Eastern Europe",NA,"Men",1998,5.19074367717181,5.06000019813448,5.31072624888363,3.89446617353345,3.80835068777319,3.98268404914888,1.29709351486349,1.24369460141254,1.34940089814007
"Central and Eastern Europe",NA,"Men",1999,5.17471028524757,5.04040139151693,5.29607495981107,3.87707706346126,3.79167411575964,3.96525661528684,1.29845602374757,1.24543321711906,1.35166545690042
"Central and Eastern Europe",NA,"Men",2000,5.1599329741774,5.02551190852752,5.28320177112169,3.8610680443258,3.77498004147971,3.9492019419668,1.29997772829126,1.24629031219582,1.35340229272375
"Central and Eastern Europe",NA,"Men",2001,5.14598048567449,5.01103945488847,5.27083296432223,3.84583458787057,3.75954139223579,3.93392633789104,1.30149802454565,1.24752860015781,1.35462835075729
