Kabupaten/Kota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rata-rata Konsumsi Perkapita Seminggu Menurut Kelompok Makanan dan Minuman Jadi Per Kabupaten/kota (Satuan Komoditas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MAKANAN DAN MINUMAN JADI,,,Roti tawar,,,"Roti manis, roti lainnya",,,"Kue kering, biskuit, semprong",,,"Kue basah (kue lapis, bika ambon, lemper, dsb)",,,"Makanan gorengan (tahu, tempe, bakwan, pisang)",,,Makanan gorengan,,,Bubur kacang hijau,,,"Gado-gado, ketoprak, pecel",,,Nasi campur/rames,,,Nasi goreng,,,Nasi putih,,,Lontong/ketupat sayur,,,"Soto, gule, sop, rawon, cincang",,,"Sayur matang (ditumis, disantan, dsb)",,,"Sate, tongseng",,,"Mie bakso, mie rebus, mie goreng",,,Mie instan,,,"Makanan ringan anak-anak, krupuk/kripik",,,Ikan matang,,,"Ayam/daging matang (ayam goreng, rendang, dsb)",,,"Daging olahan matang (sosis, nugget, daging asap, dsb)",,,Bubur ayam,,,"Siomay, batagor",,,Makanan jadi lainnya,,,Air kemasan,,,Air kemasan galon,,,"Air teh kemasan, minuman bersoda/mengandung CO2",,,"Sari buah kemasan, minuman kesehatan, minuman berenergi",,,"Minuman jadi (kopi, kopi susu, teh, susu coklat, dsb)",,,Es krim,,,Es lainnya,,,Minuman keras,,
,2018,2019,2020,2018,2019,2020,2018,2019,2020,2018,2019,2020,2018,2019,2020,2018,2019,2020,2018,2019,2020,2018,2019,2020,2018,2019,2020,2018,2019,2020,2018,2019,2020,2018,2019,2020,2018,2019,2020,2018,2019,2020,2018,2019,2020,2018,2019,2020,2018,2019,2020,2018,2019,2020,2018,2019,2020,2018,2019,2020,2018,2019,2020,2018,2019,2020,2018,2019,2020,2018,2019,2020,2018,2019,2020,2018,2019,2020,2018,2019,2020,2018,2019,2020,2018,2019,2020,2018,2019,2020,2018,2019,2020,2018,2019,2020,2018,2019,2020
Simeulue,-,-,-,0.216,0.093,0.075,0.78,0.717,0.305,0.048,0.13,0.091,2.817,2.91,2.832,-,-,-,1.596,1.298,1.222,0.094,0.093,0.038,0.019,0.004,0.005,0.113,0.183,0.127,0.131,0.138,0.091,0.061,0.044,0.057,0.533,0.563,0.354,0.022,0.028,0.006,0.026,0.064,0.041,0.07,0.066,0.019,0.358,0.437,0.31,0.151,0.122,0.125,0.358,0.537,0.577,0.069,0.193,0.081,0.004,0.042,0.027,0.042,0.033,0.009,-,0.002,0.002,0.083,0.031,0.025,0.013,0.043,0.027,0.073,0.03,0.022,0.283,0.343,0.402,0.024,0.047,0.035,0.058,0.139,0.131,1.189,1.457,1.298,0.228,0.239,0.2,0.307,0.28,0.291,-,-,-
Aceh Singkil,-,-,-,0.398,0.318,0.418,1.273,0.857,0.876,0.437,0.269,0.37,1.81,1.665,2.048,-,-,-,2.905,2.697,3.402,0.05,0.051,0.096,0.089,0.07,0.104,0.21,0.17,0.152,0.184,0.193,0.188,0.31,0.311,0.033,0.114,0.077,0.085,0.033,0.026,0.03,0.146,0.259,0.065,0.107,0.05,0.06,0.409,0.359,0.304,0.224,0.128,0.131,1.414,0.812,0.902,0.213,0.204,0.049,0.195,0.058,0.049,0.309,0.299,0.381,0.002,0.004,-,0.054,0.026,0.075,0.018,0.031,0.091,0.07,0.024,0.061,0.19,0.187,0.247,0.112,0.048,0.05,0.066,0.062,0.057,0.927,0.853,0.764,0.354,0.173,0.223,0.28,0.242,0.139,0.006,0.003,0.001
Aceh Selatan,-,-,-,0.28,0.24,0.097,0.563,0.646,0.602,0.354,0.243,0.44,3.679,3.043,4.615,-,-,-,2.526,2.446,2.885,0.033,0.051,0.029,0.019,0.028,0.019,0.692,0.739,0.717,0.112,0.111,0.099,0.103,0.123,0.072,0.068,0.115,0.088,0.017,0.008,0.007,0.042,0.086,0.041,0.042,0.046,0.033,0.488,0.48,0.538,0.125,0.093,0.172,0.907,0.619,0.887,0.065,0.105,0.066,0.011,0.043,0.061,0.001,0.005,0.016,0.003,0.001,0.002,0.034,0.095,0.109,0.015,0.026,0.113,0.017,0.042,0.039,0.127,0.162,0.201,0.068,0.097,0.086,0.181,0.154,0.271,1.48,1.335,1.792,0.245,0.231,0.171,0.211,0.246,0.229,0.001,-,0.001
Aceh Tenggara,-,-,-,0.482,0.4,0.268,1.341,1.23,0.699,0.387,0.178,0.4,2.019,1.818,1.565,-,-,-,3.228,3.461,2.958,0.196,0.124,0.121,0.079,0.058,0.056,0.242,0.134,0.096,0.165,0.133,0.124,0.025,0.053,0.146,0.868,0.659,0.559,0.021,0.031,0.022,0.04,0.057,0.087,0.115,0.114,0.078,0.526,0.419,0.432,0.16,0.167,0.123,0.833,0.701,0.753,0.057,0.052,0.13,0.087,0.065,0.142,0.627,0.278,0.349,0.018,0.037,0.024,0.308,0.211,0.387,0.044,0.225,0.092,0.064,0.067,0.048,0.179,0.057,0.095,0.124,0.147,0.134,0.061,0.063,0.128,1.554,1.401,1.549,0.559,0.369,0.368,0.174,0.111,0.195,0.069,0.068,0.046
Aceh Timur,-,-,-,0.5,0.378,0.482,0.884,0.631,0.878,0.298,0.424,0.389,3.327,2.946,3.357,-,-,-,2.987,2.42,2.757,0.11,0.093,0.151,0.059,0.037,0.08,0.355,0.274,0.335,0.311,0.343,0.315,0.118,0.05,0.059,0.292,0.376,0.357,0.014,0.003,0.008,0.03,0.021,0.011,0.14,0.076,0.042,0.707,0.72,0.734,0.105,0.112,0.076,0.584,0.628,0.879,0.071,0.017,0.013,0.027,0.022,0.051,0.317,0.323,0.066,0.011,0.003,0.007,0.283,0.218,0.232,0.025,0.067,0.146,0.222,0.094,0.164,0.095,0.088,0.094,0.306,0.222,0.362,0.246,0.075,0.3,2.554,2.359,2.574,0.55,0.533,0.318,0.142,0.189,0.172,-,0.009,0.002
Aceh Tengah,-,-,-,0.558,0.405,0.526,1.209,0.978,1.147,0.574,0.53,0.751,3.183,3.566,4.209,-,-,-,3.825,3.964,3.942,0.088,0.071,0.075,0.059,0.038,0.037,0.37,0.691,0.392,0.088,0.08,0.109,0.068,0.07,0.169,0.196,0.181,0.271,0.014,0.009,0.037,0.04,0.054,0.145,0.047,0.044,0.083,0.628,0.678,0.75,0.071,0.059,0.054,0.891,0.792,1.587,0.036,0.088,0.272,0.018,0.037,0.199,0.391,0.654,0.532,0.008,0.006,0.009,0.517,0.481,0.548,0.068,0.094,0.044,0.05,0.093,0.062,0.11,0.113,0.112,0.046,0.036,0.104,0.085,0.152,0.203,0.758,0.824,0.876,0.199,0.229,0.214,0.102,0.1,0.133,0.002,-,-
Aceh Barat,-,-,-,0.439,0.167,0.258,1.146,1.35,0.992,0.275,0.16,0.283,3.048,3.436,3.568,-,-,-,2.562,2.463,3.246,0.123,0.108,0.16,0.025,0.032,0.02,0.379,0.527,0.79,0.281,0.254,0.384,0.039,0.072,0.021,0.125,0.2,0.171,0.022,0.046,0.091,0.102,0.126,0.123,0.034,0.073,0.067,0.675,0.746,0.787,0.181,0.084,0.136,0.987,0.864,0.647,0.064,0.129,0.085,0.026,0.142,0.03,0.164,0.116,0.053,0.007,0.01,0.008,0.053,0.079,0.106,0.161,0.136,0.084,0.044,0.149,0.181,0.262,0.295,0.29,0.134,0.532,0.14,0.093,0.166,0.196,1.68,2.096,2.407,0.129,0.203,0.245,0.166,0.216,0.382,0.001,-,-
Aceh Besar,-,-,-,0.656,0.385,0.529,1.453,1.19,1.062,0.384,0.499,0.303,4.265,3.846,4.204,-,-,-,3.365,2.981,2.524,0.13,0.071,0.074,0.056,0.05,0.04,0.43,0.563,0.203,0.385,0.334,0.322,0.256,0.264,0.573,0.328,0.311,0.2,0.025,0.01,0.017,0.097,0.115,0.224,0.06,0.041,0.063,0.611,0.581,0.525,0.156,0.121,0.082,0.49,0.593,0.394,0.114,0.147,0.631,0.096,0.053,0.16,0.335,0.232,0.195,0.044,0.03,0.031,0.332,0.438,0.352,0.069,0.038,0.035,0.165,0.177,0.122,0.388,0.36,0.423,0.151,0.168,0.307,0.178,0.271,0.198,2.613,2.502,2.071,0.353,0.279,0.266,0.104,0.154,0.118,-,-,-
Pidie,-,-,-,0.402,0.377,0.438,0.647,0.765,0.857,0.386,0.381,0.308,4.558,4.44,4.105,-,-,-,3.448,3.272,3.599,0.123,0.149,0.244,0.081,0.086,0.032,0.57,0.371,0.374,0.46,0.362,0.467,0.035,0.016,0.042,0.376,0.387,0.339,0.004,0.01,0.012,0.005,0.05,0.058,0.073,0.029,0.069,1.135,1.045,1.113,0.074,0.064,0.108,0.578,0.479,0.503,0.046,0.029,0.06,0.01,0.024,0.016,0.296,0.257,0.136,0.004,0.007,0.012,0.297,0.287,0.248,0.417,0.417,0.138,0.253,0.148,0.158,0.12,0.18,0.254,0.21,0.115,0.1,0.185,0.292,0.145,2.863,2.682,3.006,0.73,0.562,0.475,0.253,0.35,0.172,0.003,-,-
Bireuen,-,-,-,0.18,0.235,0.152,0.776,0.711,0.8,0.722,0.466,0.479,4.155,4.245,3.979,-,-,-,2.854,3.517,2.889,0.078,0.121,0.09,0.024,0.032,0.029,0.555,0.451,0.514,0.327,0.375,0.314,0.11,0.123,0.14,0.325,0.322,0.342,0.022,0.026,0.02,0.065,0.072,0.109,0.038,0.034,0.044,1.173,1.155,1.036,0.107,0.111,0.097,1.072,0.917,0.689,0.099,0.068,0.165,0.043,0.042,0.072,0.197,0.268,0.356,0.007,0.006,0.004,0.27,0.34,0.351,0.086,0.061,0.064,0.18,0.176,0.167,0.077,0.093,0.14,0.344,0.156,0.17,0.233,0.292,0.338,2.979,3.161,2.486,0.451,0.36,0.352,0.165,0.205,0.205,-,0.002,0.002
Aceh Utara,-,-,-,0.183,0.326,0.284,0.685,0.792,0.676,0.272,0.217,0.19,3.083,3.083,3.46,-,-,-,3.055,2.686,2.486,0.037,0.085,0.107,0.047,0.043,0.037,0.092,0.122,0.076,0.26,0.33,0.249,0.103,0.126,0.112,0.249,0.33,0.377,0.006,0.022,0.01,0.059,0.079,0.065,0.019,0.023,0.041,0.767,0.761,0.851,0.07,0.082,0.084,0.726,0.63,0.775,0.046,0.064,0.04,0.03,0.034,0.01,0.03,0.033,0.115,0.002,0.003,0.008,0.433,0.365,0.441,0.059,0.015,0.029,0.069,0.071,0.042,0.093,0.106,0.105,0.191,0.276,0.186,0.114,0.185,0.155,2.402,2.962,2.944,0.394,0.375,0.32,0.098,0.13,0.217,-,-,-
Aceh Barat Daya,-,-,-,0.264,0.168,0.135,0.549,0.674,0.808,0.257,0.479,0.522,2.995,3.001,2.8,-,-,-,3.681,2.56,3.144,0.061,0.055,0.065,0.021,0.015,0.05,1.062,0.987,1.181,0.158,0.321,0.326,0.056,0.093,0.152,0.055,0.049,0.078,0.072,0.031,0.028,0.075,0.06,0.046,0.043,0.089,0.08,0.631,0.642,0.691,0.179,0.194,0.169,0.646,0.751,0.709,0.106,0.062,0.17,0.032,0.009,0.022,0.007,0.016,0.047,-,0.003,0.003,0.064,0.097,0.156,0.012,0.092,0.12,0.273,0.238,0.504,0.132,0.169,0.148,0.293,0.139,0.228,0.235,0.144,0.192,1.592,1.511,1.666,0.178,0.208,0.245,0.189,0.201,0.189,-,-,0.002
Gayo Lues,-,-,-,0.41,0.471,0.346,0.746,0.768,0.795,0.805,0.477,0.536,1.194,1.485,1.239,-,-,-,3.451,3.306,4.071,0.107,0.118,0.095,0.081,0.03,0.041,0.155,0.654,0.571,0.108,0.071,0.061,0.046,0.08,0.036,0.927,0.869,0.859,0.03,0.012,0.015,0.021,0.061,0.038,0.199,0.199,0.196,0.418,0.424,0.297,0.093,0.1,0.139,1.149,0.684,0.805,0.052,0.071,0.053,0.092,0.057,0.068,0.564,0.574,0.739,0.005,0.006,0.011,0.165,0.147,0.131,0.091,0.08,0.102,0.075,0.071,0.059,0.146,0.136,0.148,0.138,0.107,0.056,0.276,0.28,0.11,0.407,0.803,0.655,0.453,0.364,0.33,0.034,0.072,0.159,-,0.001,-
Aceh Tamiang,-,-,-,0.163,0.12,0.153,0.941,0.997,0.917,0.168,0.298,0.277,0.728,1.13,1.04,-,-,-,2.599,2.399,2.25,0.03,0.017,0.051,0.03,0.034,0.025,0.424,0.562,0.399,0.134,0.125,0.119,0.015,0.034,0.011,0.482,0.424,0.391,0.021,0.01,0.02,0.153,0.251,0.192,0.099,0.083,0.119,0.387,0.399,0.339,0.029,0.014,0.017,0.643,0.579,0.557,0.193,0.357,0.293,0.086,0.086,0.083,0.533,0.668,0.506,0.004,0.004,0.005,0.661,0.586,0.706,0.108,0.037,0.048,0.028,0.03,0.029,0.292,0.274,0.288,0.137,0.187,0.175,0.195,0.249,0.334,0.69,0.792,0.784,0.296,0.341,0.339,0.087,0.139,0.103,0.002,-,-
Nagan Raya,-,-,-,0.271,0.213,0.334,0.76,0.728,0.764,0.125,0.087,0.243,2.371,1.457,2.175,-,-,-,2.577,2.166,2.531,0.15,0.096,0.242,0.042,0.034,0.051,0.417,0.569,0.607,0.168,0.122,0.252,0.052,0.072,0.114,0.081,0.044,0.119,0.027,0.01,0.031,0.02,0.03,0.047,0.051,0.04,0.09,0.58,0.467,0.663,0.144,0.113,0.173,0.515,0.694,0.512,0.017,0.034,0.083,0.003,0.009,0.065,0.057,0.05,0.066,0.004,0.005,0.014,0.117,0.095,0.19,0.009,0.026,0.027,0.09,0.027,0.131,0.085,0.144,0.183,0.23,0.054,0.09,0.179,0.051,0.255,1.385,0.992,1.566,0.204,0.249,0.268,0.115,0.084,0.27,-,0.003,0.003
Aceh Jaya,-,-,-,0.221,0.213,0.12,0.875,0.97,1.015,0.371,0.305,0.396,4.656,3.819,4.218,-,-,-,2.658,2.637,2.909,0.099,0.1,0.126,0.023,0.021,0.03,0.343,0.349,0.356,0.282,0.201,0.289,0.113,0.13,0.105,0.128,0.119,0.097,0.008,0.037,0.063,0.066,0.124,0.187,0.028,0.03,0.032,0.529,0.56,0.579,0.242,0.166,0.172,0.435,0.562,0.387,0.073,0.128,0.21,0.017,0.027,0.111,0.144,0.084,0.157,-,0.001,0.001,0.241,0.184,0.306,0.025,0.061,0.08,0.088,0.204,0.15,0.179,0.205,0.196,0.217,0.247,0.446,0.501,0.386,0.451,2.977,2.833,2.562,0.22,0.221,0.292,0.199,0.239,0.301,0.002,0.001,-
Bener Meriah,-,-,-,0.22,0.229,0.187,1.202,0.835,1.641,0.473,0.496,0.293,2.91,4.226,3.633,-,-,-,4.208,4.377,4.849,0.021,0.04,0.067,0.055,0.073,0.07,0.444,0.773,0.664,0.09,0.154,0.091,0.065,0.081,0.128,0.262,0.294,0.23,0.012,0.016,0.023,0.061,0.086,0.106,0.063,0.088,0.071,0.601,0.709,0.728,0.037,0.068,0.063,0.836,1.074,0.658,0.023,0.153,0.063,0.042,0.039,0.022,0.733,0.857,1.234,0.001,0.002,0.01,0.338,0.397,0.451,0.01,0.069,0.072,0.022,0.024,0.022,0.071,0.047,0.062,0.07,0.084,0.059,0.216,0.514,0.271,1.178,1.861,1.468,0.234,0.208,0.213,0.083,0.013,0.123,-,-,-
